,title,page_id,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,revert_count,discussion_count,quality
88,Elephant,9279,8297,8426,2922,2185,737,2415,1370,1705,FA
89,North Cascades National Park,45013,8136,1403,325,220,105,279,89,49,FA
90,"Mary, Queen of Scots",20603,8250,7714,3401,1456,1946,2898,1725,1081,FA
91,Candide,6629,8306,2231,961,562,399,834,201,326,FA
92,Cockatoo,201258,7765,2382,822,473,349,712,392,240,FA
93,Khalid al-Mihdhar,16838,8320,1057,291,230,61,245,57,102,FA
94,Triangulum Australe,30662,8320,500,197,172,25,172,12,36,FA
95,Dorset,37589,8158,2814,903,576,327,760,328,263,FA
96,Octopus,22780,8212,6715,2674,1320,1354,2242,1763,895,FA
97,Schizophrenia,27790,8275,9847,2491,1522,969,2030,1266,5477,FA
98,Joan of Arc,16509,8213,10518,3392,1833,1559,2844,1682,2744,FA
99,Battle of Poitiers,4503,8279,1664,533,344,189,437,124,299,FA
100,Tern,210782,7744,731,247,203,44,211,38,44,FA
101,Battle of Hastings,44667,8138,6114,2825,1197,1628,2444,1691,739,FA
102,Emperor penguin,223204,7721,3185,1457,770,687,1232,679,420,FA
103,Altrincham,285284,7637,1859,555,343,212,460,157,243,FA
104,Myst,219731,7728,2504,1139,626,513,970,262,250,FA
105,Laurence Olivier,43675,8145,3877,1416,859,557,1169,474,1283,FA
106,Zinc,34420,8444,6149,2628,1217,1411,2263,1474,434,FA
107,Æthelberht of Kent,9941,8290,695,322,255,67,274,69,91,FA
108,First Punic War,11427,8276,2381,985,509,476,842,430,140,FA
109,Last of the Summer Wine,73370,7983,3057,898,431,467,767,272,297,FA
110,Enzyme,9257,8307,5833,2418,1047,1371,2098,1347,695,FA
111,Ocean sunfish,307795,7607,2177,1172,589,583,1023,484,200,FA
112,Battle of Halidon Hill,240000,7694,503,219,158,61,185,35,31,FA
113,Kurt Vonnegut,16861,8304,6110,3056,1483,1573,2632,1080,647,FA
114,Catherine Zeta-Jones,150996,7886,5066,2361,1098,1263,2051,783,727,FA
115,Saturn,44474,8270,7554,3242,1618,1624,2696,2110,1175,FA
116,"Jerome, Arizona",106788,7923,1179,311,211,100,264,65,62,FA
117,Hoover Dam,14308,8225,6053,2697,1260,1437,2301,1578,495,FA
118,George V,46823,8124,5137,2044,1115,929,1747,658,435,FA
119,Talyllyn Railway,172764,7827,1504,301,200,101,248,125,361,FA
120,Alfred Russel Wallace,1494,8333,3729,1452,781,672,1218,614,332,FA
121,Ahmose I,80900,7966,1305,606,365,241,522,224,227,FA
122,Procellariidae,224443,7719,671,228,178,50,197,68,57,FA
123,Tucana,30660,8158,517,247,192,55,211,48,40,FA
124,Nuthatch,203545,7760,1080,308,233,75,257,127,96,FA
125,Western jackdaw,212989,7740,1492,493,316,177,417,116,211,FA
126,Harriet Tubman,37243,8171,4649,2019,1129,890,1683,855,1443,FA
127,Star Trek II: The Wrath of Khan,27098,8273,3636,1563,779,784,1303,497,344,FA
128,Corvus (constellation),213454,7739,709,327,234,93,286,93,28,FA
129,Grey Cup,230107,7710,1461,671,315,356,563,106,87,FA
130,Battleship,4054,8267,4048,1508,873,635,1270,484,561,FA
131,Second Crusade,106130,7924,2305,1154,603,551,973,583,127,FA
132,Cannon,7053,8266,4355,1668,957,711,1435,664,345,FA
133,Emu,76894,7974,2645,1220,750,470,1054,525,367,FA
134,Crocodilia,196020,7776,2696,977,517,460,834,344,190,FA
135,Planets beyond Neptune,23842,8340,3498,1354,662,692,1184,672,243,FA
136,Francis Nash,234997,7702,273,113,91,22,96,17,35,FA
137,Metabolism,20374,8280,2668,1229,625,604,1110,522,180,FA
138,Hattie Jacques,158997,7863,1439,416,264,152,332,112,269,FA
139,HMS Hermes (95),247552,7682,383,191,150,41,165,42,32,FA
140,Ontario Highway 401,291924,7629,4152,1043,542,501,829,553,860,FA
141,Midshipman,304197,7612,1314,382,238,144,323,60,153,FA
142,Bryce Canyon National Park,46991,8123,1212,638,422,216,547,208,84,FA
143,FIFA World Cup,11370,8289,10337,4213,2048,2166,3516,2023,1852,FA
144,Judah P. Benjamin,216485,7733,1585,592,385,207,507,150,103,FA
145,Gustav Holst,49241,8108,2151,947,507,440,817,379,498,FA
146,Bernard Hinault,284767,7638,1057,374,248,126,315,44,47,FA
147,Hubble Space Telescope,40203,8162,7330,3189,1498,1691,2748,2122,663,FA
148,Fridtjof Nansen,11820,8190,1976,852,566,286,734,193,133,FA
149,Nirvana (band),21231,8466,13808,5633,2362,3271,4802,4149,1539,FA
150,Umbriel (moon),32101,8292,665,293,228,65,252,55,42,FA
151,Princess Charlotte of Wales (1796–1817),194316,7780,1316,440,273,167,373,95,201,FA
152,Xenu,46634,8126,4525,1966,974,992,1683,1084,1822,FA
153,Ursula K. Le Guin,32037,8358,2773,1139,738,401,956,239,453,FA
154,Bids for the 2012 Summer Olympics,169523,7833,1128,480,320,160,407,97,104,FA
155,Helicobacter pylori,199665,7768,2918,1055,608,447,912,241,251,FA
156,Antonin Scalia,166514,7842,5034,1921,1082,839,1607,868,1043,FA
157,A Christmas Carol,73670,7982,5783,2540,1111,1429,2167,1304,502,FA
158,Complete blood count,241565,7691,1922,386,255,131,337,90,319,FA
159,Atlantic puffin,202418,7762,1696,751,420,331,650,356,84,FA
160,Moonraker (novel),170003,7832,1117,423,274,149,379,65,132,FA
161,Kenneth Horne,51275,8090,668,216,158,58,179,65,42,FA
162,Maurice Richard,77270,7974,2603,1211,576,635,993,526,101,FA
163,Qibla,251713,7675,1288,630,368,262,553,155,162,FA
164,Thomas F. Bayard,44613,8139,660,232,203,29,196,35,48,FA
165,Hoysala architecture,37521,8158,1175,235,180,55,199,69,59,FA
166,Intelligent design,15295,8246,14582,3572,1926,1647,2753,3687,32907,FA
167,Anna Anderson,238802,7696,3483,1016,511,505,816,393,1375,FA
168,Cougar,78160,7971,8072,3541,1628,1913,3013,2122,515,FA
169,Koala,17143,8256,6183,2540,1198,1342,2186,1910,1031,FA
170,Battle of the Nile,4606,8263,1233,581,400,181,490,131,89,FA
171,Oxidative phosphorylation,22773,8158,1221,424,253,171,373,125,138,FA
172,Hathor,97317,7940,1978,881,458,423,789,337,143,FA
173,Mortimer Wheeler,50693,8096,1082,319,242,77,275,98,46,FA
174,Springbok,28580,8288,1004,502,322,180,435,147,83,FA
175,Michael Collins (astronaut),97666,7940,2509,1099,639,460,951,420,205,FA
176,Somerset Levels,192480,7784,1217,294,215,79,239,151,179,FA
177,Cai Lun,140955,8006,1544,504,320,184,445,256,139,FA
178,Stanley Cup,66968,8000,4188,2003,874,1129,1789,905,359,FA
179,"Hillsboro, Oregon",131007,7917,1504,448,299,149,382,138,68,FA
180,Apollo 15,1969,8312,2130,699,474,225,592,205,127,FA
181,Japan,15573,8274,19842,6074,3609,2465,4842,3814,5681,FA
182,Arnold Bennett,56881,8049,890,386,288,98,323,51,81,FA
183,Radiohead,38252,8175,13960,4669,1888,2782,3919,2155,1736,FA
184,Alpine chough,195770,7777,668,220,171,49,187,34,31,FA
185,Frédéric Chopin,10823,8366,11577,3320,1569,1751,2786,1911,3651,FA
186,Joy Division,16579,8193,4633,1855,806,1049,1595,746,488,FA
187,Babe Ruth,4173,8323,8190,2900,1550,1350,2415,1452,1079,FA
188,English National Opera,275915,7645,643,214,165,49,188,21,59,FA
189,Peasants' Revolt,57172,8048,3294,1602,688,914,1379,901,215,FA
190,E.T. the Extra-Terrestrial,73441,7983,6289,3020,1422,1599,2667,1115,388,FA
191,The Simpsons,29838,8304,14624,5939,3500,2439,4953,2078,2647,FA
192,Interstate 96,79655,7969,1307,363,221,142,296,112,172,FA
193,Grey currawong,221162,7725,446,147,123,24,130,24,32,FA
194,Loveless (album),196337,7776,2038,683,356,327,583,230,181,FA
195,Charles I of England,7426,8288,8081,3433,1507,1926,2916,1847,619,FA
196,Black vulture,194350,7780,800,407,301,106,350,73,49,FA
197,Crater (constellation),210880,7744,600,257,192,65,225,41,19,FA
198,Impala,296445,7623,1271,605,365,240,517,171,88,FA
199,Tōru Takemitsu,222568,7723,895,364,240,124,302,42,139,FA
200,Bohemian waxwing,202500,7762,474,205,172,33,176,21,47,FA
201,James B. Weaver,149246,7890,711,238,181,57,206,32,43,FA
202,Titchwell Marsh,149258,7890,421,91,78,13,78,27,29,FA
203,Surtsey,28876,8261,1493,794,438,356,674,313,74,FA
204,Chrono Trigger,6614,8306,4379,1701,818,883,1453,539,775,FA
205,Wish You Were Here (Pink Floyd album),203503,7760,2777,1258,642,616,1078,473,279,FA
206,Christopher Nolan,177840,7816,10658,3579,1454,2125,2985,1051,522,FA
207,Caelum,6432,8317,482,240,190,50,209,44,48,FA
208,Douglas MacArthur,48596,8114,7118,2583,1559,1024,2122,780,1470,FA
209,Nixon in China,262613,7661,923,345,245,100,297,39,97,FA
210,Penda of Mercia,145326,7901,1251,259,194,65,218,59,164,FA
211,System Shock,29180,8235,1442,535,302,233,463,106,162,FA
212,Ant,2594,8254,5302,2305,1373,932,2006,861,887,FA
213,Third Punic War,57551,8047,1621,736,409,327,650,284,93,FA
214,Emma Watson,149243,7890,9262,3331,2124,1207,2656,1949,2185,FA
215,Trafford,300825,7617,1174,410,281,129,336,85,74,FA
216,Constantine III (Western Roman emperor),148677,7892,592,291,232,59,249,51,72,FA
217,Norma (constellation),185763,7798,460,199,164,35,176,20,32,FA
218,Albert Speer,954,8418,4319,1503,880,623,1287,617,695,FA
219,Nine Inch Nails,71966,7987,9613,3807,1459,2348,3237,1373,962,FA
220,Laura Secord,249154,7679,2699,1210,533,677,1040,704,138,FA
221,Raynald of Châtillon,157696,7866,1040,446,260,186,403,106,165,FA
222,Achtung Baby,209063,7747,3503,687,382,306,596,246,298,FA
223,Colorado River,180968,7809,3487,1356,716,640,1165,583,325,FA
224,Battle of Blenheim,4049,8350,1312,612,407,205,516,151,147,FA
225,Richard Gavin Reid,233734,7704,376,171,124,47,155,45,35,FA
226,Middle Ages,18836,8353,15333,5093,2167,2927,4242,3562,2689,FA
227,Colley Cibber,216663,7733,718,289,213,76,250,57,78,FA
228,Peter Martyr Vermigli,103174,7928,914,190,153,37,151,38,31,FA
