,title,page_id,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,revert_count,discussion_count,quality
882,Robert of Jumièges,153661,7879,640,114,98,16,88,43,81,FA
883,Alice in Chains,50214,8100,7244,2844,1057,1787,2440,1289,581,FA
884,Disco Demolition Night,309106,7605,1892,650,394,256,538,253,391,FA
885,Dementia with Lewy bodies,227167,7715,2995,490,306,184,411,124,1282,FA
886,Supernova,27680,8256,6295,2649,1273,1376,2290,1895,684,FA
887,Battle of the Coral Sea,61992,8019,3464,1070,578,492,920,410,313,FA
888,Myles Standish,97774,7940,1640,637,329,308,524,256,130,FA
889,Redshift,26262,8256,2694,1033,598,435,862,616,1755,FA
890,Carl Nielsen,97817,7939,1918,386,290,96,308,71,264,FA
891,Bix Beiderbecke,41535,8158,1560,637,390,247,535,119,166,FA
892,Pygmy hippopotamus,61334,8023,1228,652,374,278,568,290,96,FA
893,Roland TR-808,158696,7864,1749,822,387,435,724,143,113,FA
894,Ashton-under-Lyne,308036,7607,1622,525,345,180,424,182,79,FA
895,USS Kearsarge (BB-5),190291,7788,408,159,133,26,132,16,30,FA
896,Isabella Beeton,179727,7812,706,311,209,102,265,77,91,FA
897,Donkey Kong 64,153421,7879,2728,1309,557,752,1121,288,252,FA
898,Cirrus cloud,47510,8121,2184,916,473,443,813,411,126,FA
899,Velociraptor,32529,8357,3531,1583,839,744,1362,803,734,FA
900,Edward Teller,37782,8175,2427,1198,739,459,1033,276,299,FA
901,Lumen Field,206812,7752,3147,958,511,447,807,290,182,FA
902,Mauna Loa,158835,7863,2585,1113,561,552,932,627,263,FA
903,USS Constitution,32298,8158,3896,1319,740,579,1125,634,509,FA
904,Theobald of Bec,153654,7879,777,146,124,22,121,12,58,FA
905,Star Trek: The Motion Picture,277006,7643,2868,1248,670,578,1053,311,253,FA
906,Circinus,211816,7742,498,196,162,34,168,22,44,FA
907,Grim Fandango,81065,7966,1822,789,441,348,685,151,267,FA
908,Tennessine,67611,8019,2256,715,442,273,628,245,439,FA
909,Galaxy Science Fiction,151686,7885,903,186,157,29,168,38,105,FA
910,Theodosius III,73964,7982,410,157,128,29,133,16,41,FA
911,Georg Solti,163633,7848,1048,476,331,145,410,66,170,FA
912,Ozzie Smith,22790,8206,1487,565,355,210,477,138,123,FA
913,Lavanify,217394,7732,134,76,62,14,67,11,34,FA
914,The Shawshank Redemption,30625,8325,7895,3603,1534,2069,3181,1540,595,FA
915,Galileo project,13077,8206,1933,803,498,305,695,247,128,FA
916,Turtle,37751,8178,7172,2778,1430,1348,2335,1695,1367,FA
917,Comet Hyakutake,141738,7913,702,322,230,92,272,99,83,FA
918,Edward the Martyr,47382,8121,852,411,297,114,362,72,120,FA
919,Adrian Boult,147537,7895,806,249,197,52,214,35,89,FA
920,David Kelly (weapons expert),271261,7650,1646,807,479,328,711,137,278,FA
921,Stanley Bruce,167807,7838,1302,483,308,175,404,159,100,FA
922,Menstrual cycle,88003,7951,5272,2370,1076,1294,2141,1132,1389,FA
923,Wolf,33702,8297,9950,3216,1799,1417,2659,1746,2249,FA
924,Planescape: Torment,156756,7869,2379,831,384,447,691,172,425,FA
925,John Glenn,58702,8042,5562,2405,1222,1183,2060,857,302,FA
926,Statue of Liberty,28617,8284,10073,4357,2010,2347,3737,2275,1500,FA
927,Messiah (Handel),149131,7891,2196,917,507,410,796,390,267,FA
928,Janet Jackson,60070,8032,13526,4038,1939,2099,3313,1780,1164,FA
929,Blade Runner,3746,8269,8407,3148,1621,1527,2697,1156,1180,FA
930,Kelpie,199921,7768,1305,533,268,265,480,150,284,FA
931,John Barrymore,68065,7997,1912,718,443,276,604,169,102,FA
932,Sovereign (British coin),266325,7655,1002,444,282,162,387,65,61,FA
933,George Mason,224314,7719,2516,1169,526,643,1008,619,109,FA
934,Apollo 16,1970,8312,1425,600,409,191,519,142,96,FA
935,1896 Summer Olympics,48644,8113,2362,1136,618,518,984,405,178,FA
936,Banff National Park,209131,7747,2150,819,472,347,698,381,145,FA
937,Imagism,103246,7928,904,360,230,130,313,91,88,FA
938,Lady Gregory,221377,7725,808,342,255,87,295,58,70,FA
939,Germanium,12242,8442,2542,1105,591,514,976,484,147,FA
940,Frigatebird,183143,7804,976,365,245,120,316,104,74,FA
941,Appaloosa,81740,7964,1967,594,328,266,514,241,410,FA
942,Leo Ornstein,216986,7733,692,281,190,91,245,66,63,FA
943,Mayfly,246333,7684,1593,800,434,366,708,263,98,FA
944,Texas Revolution,38711,8173,3939,1695,741,954,1437,801,775,FA
945,Huldrych Zwingli,13602,8332,2143,904,526,378,789,278,196,FA
946,Battle of Milne Bay,179516,7813,1136,319,219,100,271,89,172,FA
947,Paul Tibbets,199511,7769,2048,912,484,428,776,401,219,FA
948,Germany,11867,8266,21432,6716,3913,2804,5481,3487,7272,FA
949,Gray's Inn,207886,7750,726,323,216,107,280,81,106,FA
950,Isidor Isaac Rabi,196999,7774,797,401,298,103,354,57,60,FA
951,Bedřich Smetana,140422,7915,1627,595,379,216,512,140,134,FA
952,Zenobia,43382,8147,1502,671,419,252,587,127,169,FA
953,Chinese classifier,304719,7611,1253,328,213,115,271,57,336,FA
954,Theodore II Laskaris,74220,7981,470,146,121,25,126,16,28,FA
955,Flag of Canada,97066,7941,3715,1569,805,764,1335,852,495,FA
956,Privy Council (United Kingdom),24451,8283,1252,624,450,174,530,62,134,FA
957,Dilwale Dulhania Le Jayenge,274258,7647,4526,1675,665,1010,1455,942,102,FA
958,"Æthelberht, King of Wessex",48587,8114,435,207,169,38,178,45,44,FA
959,Michael Tippett,147156,7896,1307,345,257,88,280,45,127,FA
960,It's That Man Again,147644,7895,427,191,143,48,167,23,63,FA
961,Wendell Willkie,34134,8189,1715,636,429,207,532,151,110,FA
962,Battle of Tippecanoe,91853,7946,1784,752,395,357,662,276,185,FA
963,243 Ida,47263,8122,887,340,264,76,285,108,59,FA
964,Bee-eater,63229,8012,668,271,207,64,233,47,67,FA
965,Rebecca Clarke (composer),275536,7645,464,215,170,45,185,40,83,FA
966,James Russell Lowell,254091,7671,1073,448,275,173,399,139,65,FA
967,Deinonychus,236856,7699,2050,699,409,290,568,272,638,FA
968,Louis Rwagasore,200155,7767,526,160,123,37,136,20,25,FA
969,Singer Building,306929,7608,630,313,222,91,276,23,60,FA
970,The Great Gatsby,76033,7977,8159,4252,1747,2506,3731,1680,596,FA
971,Mother India,235406,7701,1628,432,277,155,361,114,111,FA
972,Major depressive disorder,8389,8276,10791,2927,1508,1419,2468,1170,4145,FA
973,To Kill a Mockingbird,73408,7983,5035,2229,1162,1067,1899,780,1183,FA
974,Final Fantasy,10974,8310,8384,3705,1495,2211,3236,1998,1002,FA
975,...And Justice for All (album),164381,8536,4476,1877,763,1114,1593,768,618,FA
976,The Diary of a Nobody,242123,7690,595,237,179,58,206,30,49,FA
977,Marble Madness,157562,7867,855,412,253,159,359,86,137,FA
978,Alan Bush,64598,8008,524,179,142,37,155,16,49,FA
979,John C. Calhoun,52110,8079,6757,2365,1122,1243,2000,1064,394,FA
980,Yasser Arafat,34289,8294,7459,3004,1628,1376,2514,1470,2250,FA
981,Pedro I of Brazil,81480,7965,2625,828,477,351,703,333,341,FA
982,Alec Douglas-Home,175847,7821,2210,865,585,280,706,213,247,FA
983,Leucippus,17924,8352,710,392,260,132,343,174,59,FA
984,Tau Ceti,31307,8232,1321,490,327,163,402,96,161,FA
985,Operation Crossroads,227519,7714,1472,646,427,219,579,93,229,FA
986,Daniel Boone,71792,7988,5670,2603,1082,1521,2179,1642,226,FA
987,South Asian river dolphin,267307,7654,1201,497,342,155,416,178,135,FA
988,"Æthelbald, King of Wessex",48585,8114,418,198,156,42,167,35,41,FA
989,Regents of the University of California v. Bakke,169477,7834,1594,787,339,448,691,248,202,FA
990,"Arlington, Washington",138192,7916,1203,396,248,148,333,154,37,FA
991,Margaret Murray,20208,8298,1159,355,281,74,294,53,134,FA
992,George VI,46755,8125,6256,2578,1353,1225,2220,1075,792,FA
993,M-theory,20406,8269,1844,984,485,499,882,276,291,FA
994,Final Fantasy VII,52756,8073,10050,3780,1560,2221,3213,1989,1721,FA
995,Áedán mac Gabráin,192974,7783,300,117,102,15,101,11,75,FA
996,Falstaff (opera),37885,8178,742,290,186,104,241,53,57,FA
997,Manchester City F.C.,165813,7843,10860,3158,2057,1101,2470,1610,932,FA
998,Barbara McClintock,55188,8057,1986,903,536,367,778,335,140,FA
999,Smilodon,169071,7835,3613,1476,721,755,1255,608,519,FA
1000,Morihei Ueshiba,20069,8309,1254,488,290,198,423,72,138,FA
1001,1952 Winter Olympics,143562,7908,1058,341,262,79,281,45,32,FA
1002,Magnavox Odyssey,77262,7974,1589,727,391,336,639,310,88,FA
1003,William IV,43271,8148,2769,1062,681,381,909,392,383,FA
1004,Exmoor,273436,7649,1281,439,300,139,352,140,115,FA
1005,Don Bradman,87021,8302,4264,1495,805,690,1234,749,651,FA
1006,Francis Poulenc,144508,7905,1269,558,347,211,474,110,132,FA
1007,Dodo,8420,8326,6023,2481,1263,1218,2141,1339,823,FA
1008,Caesar cipher,48405,8116,1256,677,341,336,604,286,136,FA
1009,Secret of Mana,306470,7610,1590,633,348,285,514,115,174,FA
1010,Sesame Street,48064,8118,9047,3822,1834,1988,3314,2093,613,FA
1011,Electron,9476,8311,5167,2217,1077,1140,1945,1164,946,FA
1012,Marjory Stoneman Douglas,287938,7633,950,408,250,158,344,132,79,FA
1013,Manitoba,18926,8370,5572,2125,1066,1060,1797,944,423,FA
1014,Vannevar Bush,32767,8224,1672,759,490,269,669,182,161,FA
1015,Marcian,53739,8068,1173,300,233,67,242,44,97,FA
1016,Asteroid belt,47264,8122,3124,1347,688,659,1179,907,267,FA
1017,SMS Lützow,300668,7617,459,161,125,36,144,32,53,FA
1018,Biscayne National Park,176544,7820,990,284,206,78,249,81,42,FA
1019,Maniac Mansion,19668,8361,1817,668,387,281,582,187,458,FA
1020,Apollo 7,1773,8340,1400,581,387,194,498,157,85,FA
1021,INS Vikrant (1961),15442,8222,920,338,242,96,272,133,89,FA
1022,Sadruddin Aga Khan,227494,7714,585,279,194,85,243,49,69,FA
1023,Sun,26751,8264,9381,3800,2325,1475,3152,2343,2834,FA
1024,O. G. S. Crawford,266034,7656,669,136,114,22,111,106,37,FA
1025,Isis,37753,8179,4406,2058,945,1114,1793,997,438,FA
1026,Francis Walsingham,51106,8093,957,477,294,183,413,153,112,FA
1027,Thorium,30044,8442,3644,1304,732,572,1119,483,345,FA
1028,The Fifth Element,143809,7907,4648,1993,944,1050,1732,616,427,FA
1029,Hey Jude,155452,7874,3670,1592,817,775,1382,715,491,FA
1030,Metroid Prime,292736,7628,2832,1274,637,637,1066,292,231,FA
1031,Dungeons & Dragons,7940,8302,7751,3360,1614,1747,2930,2124,746,FA
1032,Master of Puppets,18756,8536,4115,1918,835,1083,1668,724,220,FA
1033,Nancy Cartwright,113158,7923,2561,1281,647,634,1118,412,233,FA
1034,Telescopium,30664,8320,531,219,177,42,191,25,38,FA
1035,Wulfhere of Mercia,145321,7902,402,148,124,24,127,20,66,FA
1036,Laika,18739,8189,3077,1521,842,679,1322,583,423,FA
1037,Alan Shepard,63727,8011,2789,1282,710,572,1103,503,219,FA
1038,A Vindication of the Rights of Woman,2834,8238,1135,470,290,180,418,169,122,FA
1039,Earth,9228,8270,14526,5313,3176,2137,4413,3205,4708,FA
1040,William Shakespeare,32897,8292,13521,4401,2526,1875,3551,3028,7634,FA
1041,William de Corbeil,155816,7872,544,137,107,30,117,21,45,FA
1042,Phil Hartman,100840,7934,3630,1925,869,1056,1708,336,177,FA
1043,Huey Long,102446,7931,6840,2180,1097,1083,1854,807,501,FA
1044,William Gibson,33119,8305,2469,957,606,351,828,223,474,FA
1045,Ranavalona I,156883,7869,839,293,197,96,252,69,97,FA
1046,Titania (moon),219664,8292,852,379,280,99,328,85,73,FA
1047,Remain in Light,309803,7605,2025,564,323,241,493,174,184,FA
1048,Raiders of the Lost Ark,54166,8065,6039,2469,1157,1313,2084,841,394,FA
1049,Neil Armstrong,21247,8290,8147,3519,1962,1557,2927,1952,1687,FA
1050,Dark Angel (American TV series),45929,8130,2569,958,503,456,829,268,148,FA
1051,Armenian genocide,140376,7916,11745,2672,1865,807,1954,1685,13799,FA
1052,American Beauty (1999 film),44122,8143,4586,2047,970,1077,1804,455,424,FA
1053,Northern gannet,251885,7675,1061,311,244,67,263,48,39,FA
1054,Microscopium,19924,8320,517,218,167,51,193,44,41,FA
1055,Smooth newt,71097,7990,483,223,154,69,198,57,16,FA
1056,Cleveland,5951,8371,9538,3530,1665,1865,3006,1876,826,FA
1057,The Red Badge of Courage,61958,8020,1235,686,322,364,609,242,88,FA
1058,James VI and I,269055,8236,8872,3673,1609,2064,3109,2094,2549,FA
1059,Kharijites,296037,7624,1755,685,408,278,592,172,135,FA
1060,Rolls-Royce Merlin,39032,8158,2063,566,325,241,453,229,600,FA
1061,Pitta,264037,7659,635,203,164,39,176,64,38,FA
1062,The Thing (1982 film),30809,8305,4897,1881,854,1027,1574,567,467,FA
1063,Robert Catesby,199956,7768,1056,335,214,121,297,95,73,FA
1064,Battle of Bosworth Field,3793,8403,2592,1167,619,548,1000,497,291,FA
1065,Manta ray,50838,8096,2844,1274,585,689,1114,574,209,FA
1066,Steller's sea cow,60411,8241,1474,635,376,259,541,232,133,FA
1067,Everglades National Park,185216,7799,1891,766,447,319,653,384,185,FA
1068,Red Skelton,248708,7681,2918,791,475,316,670,194,256,FA
1069,Johannes Kepler,15736,8327,6342,3051,1378,1673,2606,1818,545,FA
1070,Joseph Priestley,40176,8158,4094,1298,710,588,1080,684,1018,FA
1071,Manchester Bolton & Bury Canal,151898,7885,1072,204,164,40,164,43,162,FA
1072,Borscht,216990,7733,3895,1446,670,776,1261,684,1070,FA
1073,Liberty Bell,145450,7901,3317,1509,731,778,1313,820,202,FA
1074,John Le Mesurier,163382,7849,1851,472,301,171,387,160,490,FA
1075,American paddlefish,269945,7652,862,275,212,63,234,58,90,FA
1076,New Jersey Devils,66743,8001,6167,2125,908,1217,1738,925,441,FA
1077,Howard Florey,40494,8158,1641,811,443,368,694,303,98,FA
1078,John C. Breckinridge,89141,7950,1989,741,482,259,651,327,90,FA
1079,Tiruchirappalli,186160,7798,6498,1885,764,1121,1501,624,140,FA
1080,Winter War,33924,8247,6514,2366,1209,1157,1971,920,1626,FA
1081,Alexandra of Denmark,48918,8112,2318,810,469,341,650,211,163,FA
1082,Murasaki Shikibu,42758,8152,2034,577,368,209,497,187,435,FA
1083,Aspasia,231443,7708,1338,572,386,187,495,181,208,FA
1084,George Harrison,12731,8267,13148,4424,2017,2408,3800,2226,1307,FA
1085,Water rail,311236,7603,730,200,163,37,166,35,38,FA
1086,The Mummy (1999 film),253828,7672,2816,1411,703,708,1236,331,158,FA
1087,Symphony No. 4 (Mahler),190057,7789,604,244,160,84,211,32,31,FA
1088,Warwick Castle,182896,7805,2317,954,465,489,810,483,152,FA
1089,Cat's Eye Nebula,250882,7677,644,355,236,119,320,135,42,FA
1090,Gough Whitlam,12454,8312,4150,1442,814,628,1181,742,614,FA
1091,September Morn,86774,7955,578,121,110,11,95,12,254,FA
1092,Empress Matilda,48951,8112,2131,863,509,354,734,258,230,FA
1093,Stephen Crane,57799,8047,2747,1145,527,618,967,518,297,FA
1094,Japanese aircraft carrier Akagi,188590,7793,1244,395,278,117,339,121,133,FA
1095,Ganymede (moon),54211,8277,2597,1114,679,435,952,354,304,FA
1096,Callisto (moon),43126,8253,1739,759,474,285,650,252,116,FA
1097,John A. Macdonald,15912,8370,6905,2660,1251,1409,2195,1694,540,FA
1098,Pied currawong,221167,7726,508,166,134,32,145,30,47,FA
1099,Euclidean algorithm,10377,8207,2442,728,407,321,625,256,441,FA
1100,General relativity,12024,8274,5370,1986,1066,920,1723,1001,1535,FA
1101,Samantha Smith,162279,7852,1638,716,448,268,616,210,157,FA
1102,Auriga (constellation),209960,7746,868,350,247,103,295,73,30,FA
1103,W. E. B. Du Bois,89988,8182,6100,2242,1155,1087,1859,964,717,FA
1104,Sideshow Bob,64910,8337,2745,1319,622,697,1141,363,208,FA
1105,Calgary Stampede,140795,7914,1438,578,343,235,480,233,99,FA
1106,Jackie Robinson,16193,8272,6875,2060,1198,862,1711,845,1279,FA
1107,Coeliac disease,63526,8011,4397,1748,853,895,1496,789,1485,FA
1108,Ralph Vaughan Williams,79448,7970,2020,874,517,357,737,269,270,FA
1109,Northern bald ibis,237145,7699,1231,315,235,80,258,100,72,FA
1110,Megadeth,20653,8242,13213,5094,1804,3290,4336,2506,824,FA
1111,Triton (moon),44371,8287,2551,916,575,341,774,411,273,FA
1112,V. Gordon Childe,77127,7975,1319,338,270,68,298,51,104,FA
1113,William of Tyre,44755,8138,479,194,151,43,171,21,44,FA
1114,Great auk,12552,8326,1823,816,475,341,718,222,220,FA
1115,Liverpool F.C.,18119,8281,16546,4582,2870,1712,3559,2611,2270,FA
1116,Herbert Greenfield,233737,7704,414,176,123,53,151,58,27,FA
1117,The Beatles,29812,8311,25136,7415,3985,3430,6071,4778,10339,FA
1118,Gabriel Fauré,73087,7985,1207,518,339,179,443,188,148,FA
1119,USS Congress (1799),262008,7663,535,120,106,14,100,8,31,FA
1120,Megabat,86367,7955,1630,669,414,255,582,275,111,FA
1121,Pattern Recognition (novel),265667,7657,516,244,165,79,211,23,72,FA
1122,Moe Berg,278492,7642,930,490,344,146,418,69,117,FA
1123,Carolina Panthers,6610,8307,5268,2317,993,1324,1968,880,157,FA
1124,Bodiam Castle,259110,7665,1354,589,315,274,519,216,76,FA
1125,Damon Hill,78249,7972,2021,817,481,336,714,245,297,FA
1126,I. M. Pei,15155,8271,2116,1209,745,464,1045,224,171,FA
1127,Maple syrup,19886,8327,4046,1862,917,945,1588,1002,474,FA
1128,Princess Alice of Battenberg,293253,7628,1522,591,366,225,509,158,239,FA
1129,Yao Ming,240989,7693,4974,2414,1191,1224,2053,982,470,FA
1130,Sally Ride,94289,7943,2788,1352,786,566,1130,526,525,FA
1131,Doom (1993 video game),8521,8311,5274,2512,1265,1247,2192,912,512,FA
1132,Rigel,26463,8158,2436,678,412,266,580,335,604,FA
1133,Ukiyo-e,43351,8148,1811,517,326,191,453,177,103,FA
1134,Mark Hanna,162249,7852,1308,329,245,84,285,71,67,FA
1135,Kingdom Hearts (video game),210873,7745,6842,3126,1153,1973,2693,1418,458,FA
1136,Interstate 82,93824,7944,760,228,172,56,188,45,110,FA
1137,John Knox,37252,8166,3069,1090,584,506,930,521,299,FA
1138,Chagas disease,7012,8270,2070,733,460,273,624,162,303,FA
1139,Margaret Fuller,311144,7603,1279,511,298,213,441,180,90,FA
1140,Greed (1924 film),73930,7982,1372,401,261,140,336,63,85,FA
1141,Common starling,250046,7679,1741,666,435,231,565,194,134,FA
1142,Opeth,45851,8131,5304,2101,816,1285,1754,960,578,FA
1143,Baseball,3850,8274,8672,3727,1936,1792,3158,1903,1991,FA
1144,German battleship Bismarck,141871,8304,4893,1696,864,833,1434,928,1721,FA
1145,European nightjar,195656,7778,609,212,173,39,182,32,61,FA
1146,Baleen whale,231030,7709,1456,662,391,271,579,211,92,FA
1147,Apollo 10,1966,8314,1461,580,409,171,487,148,156,FA
1148,"Frederick III, German Emperor",151116,7887,2126,699,464,236,592,109,211,FA
1149,Battle of Crécy,58916,8041,2383,1014,567,447,864,303,431,FA
1150,The Legend of Zelda: Oracle of Seasons and Oracle of Ages,303772,7613,1045,502,316,186,422,92,174,FA
1151,Ninety-five Theses,188050,7794,2562,1397,639,758,1255,527,190,FA
1152,H II region,206947,7752,552,261,193,68,230,93,77,FA
1153,Elvis Presley,9288,8294,20263,4982,3145,1837,4037,2736,5226,FA
1154,Mariah Carey,19499,8382,21244,5494,2957,2537,4221,2881,4350,FA
1155,Aaron Sorkin,206442,7753,2940,1130,640,490,971,183,250,FA
1156,Prostate cancer,88078,7952,5301,1983,1090,893,1638,796,904,FA
1157,Bald eagle,4401,8297,4796,2254,1159,1095,1916,1096,507,FA
1158,Happy Chandler,304107,7613,678,363,260,103,312,44,85,FA
1159,Nuremberg trials,21875,8267,5282,2623,1314,1310,2256,961,568,FA
1160,New wave of British heavy metal,209218,7748,2921,1201,492,709,1040,431,352,FA
1161,Australian Defence Force,67538,8397,2777,830,490,340,709,349,185,FA
1162,Kate Winslet,52707,8074,8031,2967,1463,1504,2511,1299,585,FA
1163,Halley's Comet,46083,8129,5117,2268,1019,1250,1988,1228,742,FA
1164,Paulinus of York,180869,7810,595,179,155,24,160,19,43,FA
1165,Martin Bucer,153642,7879,1200,240,186,54,202,33,192,FA
1166,Communication,5177,8268,7277,3740,1615,2125,3270,1864,553,FA
1167,Spiro Agnew,39075,8158,3549,1732,1007,725,1514,568,261,FA
1168,Zhang Heng,34542,8193,1895,489,335,154,435,151,87,FA
1169,USS Arizona,188086,7794,2104,946,521,425,817,393,181,FA
1170,Pierre Monteux,163531,7849,838,236,175,61,200,45,68,FA
1171,Georg Forster,43667,8145,1519,501,333,168,412,225,437,FA
1172,Uncle Tom's Cabin,71989,7988,2987,1256,812,444,1107,289,420,FA
1173,White dwarf,33501,8372,2463,1190,635,555,1036,476,272,FA
1174,The Raven,78750,7971,3311,1697,769,928,1494,842,319,FA
1175,Marilyn Monroe,19318,8291,14571,5422,2604,2818,4536,2422,2450,FA
1176,Ranavalona III,271544,7650,678,208,165,43,169,30,46,FA
1177,American Airlines Flight 77,1902,8320,3477,1443,806,638,1225,679,676,FA
1178,Jack Parsons,102915,7929,2777,537,358,179,444,81,209,FA
1179,Otto Klemperer,160071,7860,923,396,253,143,335,25,63,FA
1180,Montana-class battleship,40396,8161,1393,414,260,154,325,86,143,FA
1181,Kirsten Dunst,17450,8202,5917,2642,1232,1410,2254,978,223,FA
1182,Han dynasty,43460,8147,7420,2840,1299,1541,2395,1690,561,FA
1183,White stork,237782,7698,2022,528,361,167,446,185,238,FA
1184,Pinkerton (album),198474,7772,1892,870,437,433,739,218,113,FA
1185,Antiochus X Eusebes,168058,7838,818,135,114,21,119,19,28,FA
1186,Frank Borman,80897,7967,1350,622,406,216,530,139,109,FA
1187,Highway 61 Revisited,145975,7900,2007,645,403,242,549,135,146,FA
1188,Right whale,301737,7616,1640,753,477,276,640,291,133,FA
1189,South Pacific (musical),167964,7838,2472,770,399,371,658,218,312,FA
1190,Tara Lipinski,205707,7756,1545,636,355,281,538,181,136,FA
1191,Titan (moon),47402,8122,5055,2043,1147,896,1731,909,644,FA
1192,Tiberius III,252506,7674,469,200,163,37,171,25,49,FA
1193,Mary Anning,38334,8176,3699,1330,647,683,1068,797,358,FA
1194,"Stephen, King of England",28953,8292,1855,770,492,278,652,206,154,FA
1195,James G. Blaine,16208,8175,1263,597,395,202,508,108,75,FA
1196,Las Meninas,222127,7724,1978,651,389,262,563,278,339,FA
1197,Niandra LaDes and Usually Just a T-Shirt,266477,7656,659,256,163,93,222,30,63,FA
1198,Epacris impressa,61363,8023,519,119,103,16,102,17,85,FA
1199,Jacques Offenbach,65414,8006,1756,492,337,155,426,106,451,FA
1200,Fort Ticonderoga,46710,8126,1473,810,440,370,698,328,69,FA
1201,Ronald Reagan,25433,8309,22851,6858,3944,2914,5472,3819,7661,FA
1202,Japanese aircraft carrier Kaga,65568,8480,1293,335,259,76,279,168,165,FA
1203,Archimedes,1844,8345,4635,1983,1110,873,1663,1084,1085,FA
1204,James Joyce,15600,8403,6091,2246,1219,1027,1928,804,1290,FA
1205,George Lansbury,166964,7841,983,343,263,80,284,38,80,FA
1206,New Romantics (song),203302,7761,712,320,166,154,268,131,50,FA
1207,John Calvin,15930,8361,6003,2536,1183,1353,2151,1523,1203,FA
1208,Technetium,30041,8443,2226,1017,565,452,879,336,313,FA
1209,Æthelbald of Mercia,84137,7960,481,175,154,21,151,24,120,FA
1210,Ryan White,44990,8137,1892,1078,536,542,953,313,225,FA
1211,Antbird,263286,7661,615,195,149,46,170,66,70,FA
1212,Platypus,23749,8292,5145,2472,1279,1193,2135,1410,957,FA
1213,P. G. Wodehouse,63342,8012,2747,1143,696,447,968,279,441,FA
1214,Premier League,11250,8306,15970,6593,2653,3940,5630,2911,910,FA
1215,Stanley Holloway,158990,7863,2534,460,277,183,326,163,366,FA
1216,Bernard Quatermass,292186,7629,494,222,151,71,193,12,38,FA
1217,Chariot racing,265965,7656,2548,986,455,531,852,537,76,FA
1218,Death Valley National Park,46793,8125,1869,934,560,374,810,364,107,FA
1219,The King and I,60862,8027,2584,770,378,392,653,236,488,FA
1220,Shunzhi Emperor,263101,7661,1770,445,310,135,372,79,64,FA
1221,Surfer Rosa,238429,7697,1014,464,290,174,405,115,54,FA
1222,Charles I of Anjou,39833,8164,1192,398,291,107,337,45,166,FA
1223,Globular cluster,12866,8252,1417,560,384,176,481,235,176,FA
1224,Battle of Zama,164286,7847,1397,697,375,322,605,233,186,FA
1225,If (magazine),155571,7873,420,122,105,17,107,12,50,FA
1226,Richard Wagner,25452,8294,7509,2519,1245,1274,2129,1370,1145,FA
1227,White-bellied sea eagle,201634,7764,840,245,195,50,199,52,94,FA
1228,PlayStation (console),23964,8322,7538,3513,1751,1762,3058,1455,669,FA
1229,Dinosaur,8311,8262,7225,2343,1668,675,1897,1176,2916,FA
1230,Laurence of Canterbury,18557,8234,430,142,115,27,127,12,51,FA
1231,Cabbage,55115,8058,3888,2079,1080,999,1812,1153,195,FA
1232,Lethbridge,293349,7627,2365,743,420,323,618,312,332,FA
1233,Alexander of Greece,160210,7860,746,327,240,87,291,54,85,FA
1234,Battle of Barnet,50072,8103,557,253,190,63,226,43,67,FA
1235,Nevado del Ruiz,292993,7628,2360,727,373,354,609,384,95,FA
1236,Hubble Deep Field,216601,7734,725,357,240,117,308,154,106,FA
1237,Interstate 8,86026,7956,1154,339,232,107,282,90,110,FA
1238,Corona Australis,6424,8319,650,227,188,39,193,22,40,FA
1239,Periodic table,23053,8279,8150,2817,1409,1408,2395,1691,3876,FA
1240,Irakli Tsereteli,309142,7606,435,153,120,33,136,26,39,FA
1241,Giraffe,12717,8276,6469,1902,1217,685,1580,1020,1073,FA
1242,Welding,44883,8137,3880,1800,805,995,1554,1123,226,FA
1243,Len Deighton,54085,8065,697,299,216,83,259,24,65,FA
1244,Uranus,44475,8271,7015,2856,1626,1230,2405,1602,1750,FA
1245,The Legend of Zelda: Majora's Mask,165824,7844,4668,2097,918,1179,1799,696,590,FA
1246,Unas,80888,7967,1056,483,276,207,430,207,68,FA
1247,Arthur Gould (rugby union),242464,7690,704,157,123,34,137,41,65,FA
1248,The Cabinet of Dr. Caligari,173650,7826,1689,874,493,381,761,172,128,FA
1249,Kim Clijsters,262793,7661,3991,1551,636,915,1296,214,117,FA
1250,École Polytechnique massacre,58376,8044,2415,922,529,393,793,278,836,FA
1251,Mulholland Drive (film),20786,8227,3462,1278,727,551,1082,332,576,FA
1252,"John Bingham, 7th Earl of Lucan",219048,7729,2378,905,530,375,746,230,410,FA
1253,Super Mario 64,100062,7935,5305,2101,1122,979,1752,876,774,FA
1254,Mutiny on the Bounty,69406,7994,2402,1127,656,471,970,155,196,FA
1255,Matthew Boulton,250764,7677,1212,373,271,102,318,122,93,FA
1256,Ernest Shackleton,60004,8034,5593,2190,1046,1144,1824,1180,881,FA
1257,Speed of light,28736,8275,9844,3135,1507,1628,2721,2385,8980,FA
1258,George Herriman,175928,7821,1033,263,194,69,228,51,90,FA
1259,Hydrogen,13255,8508,5378,2313,1284,1029,1904,1114,1143,FA
1260,Arthur Sifton,233742,7704,485,176,143,33,138,38,28,FA
1261,Dookie,195457,7778,3995,1713,849,864,1466,674,217,FA
1262,Battle of Villers-Bocage,204517,7759,2226,336,254,82,271,80,632,FA
