,title,page_id,doc2vec,quality
10,Great spotted woodpecker,197202,"[-0.22874708 -0.44972852 -5.232954   -0.89738697  2.4466512  -0.17182454
  4.071791    2.9980338   1.2099032   1.7971834   0.03693267 -1.8499067
  2.0597522  -3.7096562   1.9923518  -4.2957416  -0.1993141   2.3863318
  1.2752831  -1.7756766  -2.697334    0.8789133  -1.736188   -0.8325525
 -0.38379824  1.2983668  -1.8691176   0.9888087  -2.6263857  -1.9507691
  1.3969126   0.88540465 -0.4770966  -1.1522309  -0.21102595  2.71645
  0.14285311 -0.41551983 -1.1579149  -0.663053   -2.4899297   1.2710276
  0.8759704  -0.34041515  4.6773133   3.96284     1.8022677   0.4718472
 -0.9192287   0.68668485]",1
11,Horologium (constellation),211830,"[-2.0878384   0.9341446  -1.9839793  -0.37314767 -1.2869157  -0.43878683
  2.6772518   1.6143967  -1.0536476  -0.85718924  1.4534198   1.7337714
 -0.5082405  -2.611073    1.663963    1.0879718   1.8892505   0.52054703
  0.9887801   1.7913694  -1.1554198   0.2473537  -2.6605282   0.93261975
  0.4245979  -0.22321008 -3.468536   -2.1327374  -3.983881   -0.44121143
  0.61782086  0.6310292  -0.69873226 -2.300049    0.7084146   0.516318
 -0.74074215 -1.7163913   0.25186664  3.0322008  -0.06675059  0.2655799
 -2.802145   -1.3932383  -0.30499086 -0.5126739  -0.7180101  -0.6365925
  1.0335215  -1.0993457 ]",1
12,Aliens (film),213472,"[-8.078435   -2.4942436   1.6794014   0.08960044 -2.4628408  -0.91659755
 -2.9604526   6.4043765  -1.4958954   0.9206125   2.3924313   1.5071261
 -1.255417   -2.8896577   2.9617581  -3.690119    1.4109582   0.15295078
  0.21215735 -4.020142    4.2116084  -4.617497    0.3369612   0.74624497
 -7.433678    7.3461175  -1.9658306  -2.7362647  -0.20329158  2.326214
 -2.6873      0.8915166   3.4741917  -0.33753338 -3.6366272   1.9622247
 -2.828136    5.7713737  -2.0863335  -0.673204    0.14619099  2.4140978
  0.26569766 -4.823885    0.25679576  1.2682651   3.34793    -3.3878975
  1.0321051  -4.5096207 ]",1
13,USS Missouri (BB-63),87610,"[-2.8678467  -0.45848364  1.6731409  -0.14632867 -0.51091665  2.7471986
  2.8814592   2.6387324  -3.5588586  -0.43731034 -2.6352715   4.3862624
 -1.9292384  -3.5815842  -1.4131092   1.727944    1.0443332   2.5242603
  2.5316243  -1.9490621   0.55543894 -1.4186447  -1.1118108   3.2693923
 -0.470979    3.8867044  -3.4970303  -4.0305433   2.941238   -3.8130362
 -0.22672111  0.34446663  1.4552139  -2.1705122  -3.4208012   0.8375125
 -1.1028994  -2.6741548  -3.626797   -0.5009068   1.8530086   7.66753
 -0.75458497 -4.1609      3.9396722   1.7149141   0.42965308  2.3033345
 -3.3931181   2.1098983 ]",1
14,Kill 'Em All,209213,"[-3.3203356   0.8141902  -1.6065261  -5.9570136  -1.5295684   2.4591913
  0.9478627   3.6132507  -1.1119996   0.8659085   1.0627762   2.2924592
  0.21939377 -4.9100733  -1.9941736   0.6902137   1.4124601  -0.37807626
 -0.7295071   1.9115243  -0.436115   -3.6348584   4.230894    2.633369
  0.22863811  4.1800737  -3.3916728   2.7509882   3.9087155  -2.7355096
  0.22859544  0.4097341  -2.217341    3.5687962  -2.5183277   4.980997
  0.8327787  -1.725927   -0.83401996 -0.42051587  0.02632494  0.5976007
  2.0117242  -4.1843553  -1.5905458   0.2839973   1.1358645   3.1367104
  0.14354588  1.7715173 ]",1
15,Diocletian,8580,"[-2.5489044e+00  1.0437496e+00 -5.5769124e+00  7.1551337e+00
  1.5824052e+00  1.5699420e+00 -2.1119100e-01 -1.2483976e+00
  7.7739620e-01 -6.2470025e-01 -1.0946515e+00  4.8077946e+00
  2.8237751e+00  3.4194437e-01  2.0881886e+00  1.8048683e+00
  6.8964177e-01  1.5145509e+00 -2.9957032e+00  6.3139048e+00
 -7.8035717e+00  2.3140976e+00 -2.4994781e+00 -2.6733227e+00
 -4.3513341e+00 -8.3358586e-01  5.8359343e-01 -4.6280546e+00
  2.4187896e+00  2.7866635e+00  9.2960721e-01  6.1667838e+00
 -2.2786393e+00 -6.7269599e-01 -5.0673938e-01  4.6587296e+00
  3.5430829e-03 -3.5734754e+00 -2.5671272e+00  2.0275922e+00
  3.7349515e+00  2.8490326e+00 -2.0979786e+00 -3.2516620e+00
 -1.7536982e+00  2.7832608e+00 -1.2208136e+00  1.0949945e+00
  3.0308540e+00  6.3436422e+00]",1
16,Olivier Messiaen,146595,"[-3.6427383  -2.1372344  -0.03649591 -1.3429084  -1.7500863   2.6012683
  0.3366738  -4.0340595   0.13191104  1.0030789   2.4442585  -0.14707258
 -1.5771673   0.37120962 -4.629373    0.9350005   0.41964114 -0.33549902
 -1.788775   -0.9618955  -1.7060887  -1.3347396  -3.1821604   0.10426329
 -3.4503024   1.5495855  -7.967186    2.0855396  -6.935266   -1.0648661
  3.285057    3.6623514  -1.3407788   0.33970612  3.69137     1.437439
  6.1077228  -6.9926753   5.077033   -2.8421757  -0.99422985  5.059945
 -0.76707953 -3.1157718  -0.6612724  -0.6062214   2.7345371   4.570332
 -3.1255417  -3.9854875 ]",1
17,River Parrett,58547,"[ 1.8815827  -5.5268273  -3.2439685   3.1826813   6.254766   -0.7848147
  3.62136     0.05896463 -0.01818152  2.682105    1.4645724   0.88302493
 -5.8226223   3.4456599   0.3073377  -6.9517393  -0.8450832   2.0852165
 -5.052207   -3.1460688  -7.295354    1.124717    0.51537573  3.1258233
  0.88659227  4.6846466   2.6921766  -0.27947897 -1.6340718  -1.4850243
  0.04960658 -0.4949494   1.2865288  -3.2103143  -1.8640395   6.028962
 -5.047923   -2.0936215   4.291077    3.6515691  -4.0260196   0.84586114
  2.6063042  -3.16736    -1.205805    4.1783566  -0.14738162  3.4421008
  2.64551    -2.603474  ]",1
18,Edward VI,10245,"[-0.12035723 -2.4255528  -4.3153286  -0.21164247 -0.33550945 -2.577067
  0.53378475  1.0725672  -0.5610458  -0.27792418 -0.78361857  4.3647985
 -2.8018148   4.8470073  -0.26994637 -2.0653849  -0.9437186   2.1690369
 -2.918052    4.966039   -4.8666196   1.2333385  -1.5456641  -1.2793593
 -3.3014235   8.376479    0.34555018 -2.798924   -0.97537225  4.666966
 -0.7275117   1.1974652   3.0567653   1.577199    2.7986293   4.4642344
  1.5226036  -3.3958879   0.53203845 -0.9759069  -2.5685093   4.1930547
  0.717011   -2.291937   -4.887058    7.26905     1.080356   -0.23835273
  0.6048767  -2.4027534 ]",1
19,Glycerius,36674,"[-1.1943278   1.6818588  -2.066822    3.6138558  -0.57626915  1.5353988
  1.2368709   0.05278596 -0.20131506  0.16231757 -1.1620559   1.689432
  3.6825404  -0.38092884  1.9568416   1.3441244  -1.0075155   2.1382957
 -0.3148385   3.6590476  -2.0326698   2.0811872  -0.64840424 -1.6904898
 -1.4993801   0.47546914 -0.32607317 -1.718126    1.2392386   1.7495323
  0.55506766  4.492454   -2.4108498  -0.5511678  -0.17211287  4.8953176
 -0.1430858  -2.2845554  -0.2525472   1.3370644   0.29737005  2.0297623
 -0.6367931  -3.1322317  -0.51200664  2.3013015   1.1467726   0.7181865
  1.1755959   0.90511256]",1
20,Homer Simpson,64072,"[-7.299866   -2.6152282  -1.0623758  -0.34578523 -1.4550714  -0.8642479
  3.34699     2.771612   -0.9748992   2.504252   -2.404826   -0.7255002
  2.2489004  -0.30981967  0.9772724  -1.2727276   1.3379536   1.3194379
 -1.6926746  -1.9786756  -3.1837645  -0.1257777   2.0713363   2.707263
 -3.4245281   0.60611033 -0.81267285 -1.7407113  -0.37012443 -1.5351619
 -0.882669   -1.0803593  -2.9224586   2.3680332  -0.35698077  1.376281
  3.9757314   5.013527   -3.030894   -0.94819695  0.93442845 -2.1229002
 -3.7842605  -2.794412   -0.98927957  0.6457988   1.2641345  -5.592278
  3.388313   -0.68162435]",1
21,Sieges of Taunton,240593,"[-2.23344    -1.3354192  -0.7283435  -0.08838429  2.401877   -2.8546646
  1.5730456  -0.24759842 -1.9751567   0.92089903  1.4777193   0.9608259
 -3.02246     0.27931875  3.8776984  -4.9005446  -1.1873658   1.3741102
 -2.1568635   2.0379431  -4.238467    2.5049903   0.23501892 -2.2737305
  0.482481    5.5112495  -1.288994   -2.4484303   4.8892093   1.5089309
 -1.7337428   2.3986633  -0.31236184 -1.9131788   0.3054314   5.765579
  0.41793668 -1.4517615   2.7328267  -0.34482697 -3.9304202   4.0261407
  1.7785823  -2.1428833  -1.5495096   4.0410795   0.3765154   2.202258
 -1.1570761  -1.0296183 ]",1
22,Cameroon,5447,"[-0.97948515  0.3197122  -0.18085931  5.326833   -0.17362075 -0.21145399
  2.4889884  -1.976728   -4.54884     3.8722143   1.903474    7.5724797
 -2.529964   -3.5831082  -0.8965245  -3.4371932  -2.5510247  -1.4565268
 -2.1967325  -0.44360194 -0.27950913 -1.6315913  -1.8002825  -3.8117437
  1.4118849  -2.9659157  -1.2074327   0.06973545 -2.4543133   0.5576863
  2.2420452   3.6560245  -1.411232    0.81197745 -1.2328156   3.2600577
 -3.4481997  -3.1353858  -1.678067   -2.0353658  -3.6673882  -5.3918986
 -0.3701833  -0.9521076   0.60513043  2.091859   -2.906851    3.037
 -3.4086168   0.6072035 ]",1
23,Vagrant Story,296154,"[-1.3367233  -1.769296    1.867376   -0.60496855 -1.6391664   0.7143335
 -2.7819927   3.261145    0.25548545 -0.73973465  5.4310155  -1.6312813
  2.4838028  -3.5994549   1.5397613  -1.1530893   0.37869966 -3.892465
 -0.27192813 -0.1113776  -3.243133    1.1828583   2.7813938   0.75166583
  1.5648164  -1.3159802  -4.4807944  -3.4272704   1.2260735  -0.35933286
 -1.3202901   2.9409096  -0.60186374  4.4746666  -6.4370236   2.7899365
 -3.8534422  -1.1246219   2.168939    0.10996357 -1.4885032   6.9396944
  1.6501065  -3.899134   -1.9582225   3.1964698   0.49357542 -0.17273022
  1.1833622  -6.5677233 ]",1
24,Pictor,211820,"[-2.271826    0.70465034 -1.6961598   0.40394282 -1.2354892  -1.0626221
  2.3232555   1.2406874  -0.9287201  -0.3838993   1.143717    1.6254188
 -0.5519826  -3.3292131   2.857043    0.48731512  2.2843425  -0.14781417
  1.3622817   2.9864192  -1.0272249   0.6292311  -2.5995822   1.9658856
 -0.29480675  0.19697906 -4.3003216  -2.1082187  -4.668785   -0.44132802
 -0.17610705  1.0788735   0.57622844 -2.5311525  -0.09817532  1.6224214
 -1.1860946  -2.4797053   0.28542635  4.1979585   0.01876163 -1.6968528
 -3.8917146  -1.4695295   0.905189   -0.3744417  -0.8406304  -0.82721746
  0.68395054 -2.8650177 ]",1
25,Balfour Declaration,4820,"[-7.4929996  -1.8371782  -4.3539863   3.9301622  -2.3598747  -5.4943304
  0.3671237   0.5168342   3.3615327   2.0254     -1.1857035   6.095306
 -1.9915677  -0.08158724  0.6680779  -0.48058042 -1.7344645   2.032185
  3.0435076   4.6207747  -3.136391    4.2493377  -0.9908866  -1.4789191
  3.7841656   1.0589565  -2.0681674   1.5844424  -1.1078719   0.9145593
  3.5694733   1.5768006   2.2898686  -4.873862    1.3274968   5.2820745
  2.1899073  -1.5483996  -3.71837    -4.276886   -2.6042533   5.902928
  3.3503835  -0.56152374 -4.125071    3.5174642   0.07311716  0.5908285
  1.6434672   1.2932906 ]",1
26,Pluto,44469,"[-4.818064    2.3365848  -3.7944126   2.1116056  -3.2763298  -3.1550586
  2.094153    0.6200819   0.99061036  1.1641779   3.1065345   0.571767
 -1.7857873  -1.9939377   2.847525    1.1116234   2.8919961   0.11381073
  1.0297709   4.3030734  -3.1762896  -0.7419111  -3.3198316   2.8122952
 -2.0306277  -1.6714699  -2.1695757  -1.9208283  -6.664518   -3.9474716
 -2.8446963  -1.2405894   0.2611246  -6.776146   -2.6522548  -0.00976503
 -0.0595405  -6.6237755   2.675241    3.006696    4.3848486   3.999442
 -2.482711   -4.406342   -1.3577845   1.0473691   2.3036408  -2.352088
 -0.13057052 -3.6064532 ]",1
27,Tosca,38245,"[-3.927268    0.5357218   1.3433647  -1.020457   -0.85325474  1.1809475
 -1.6433414  -6.171191   -1.73735     0.59535855  2.120726    2.802858
  4.4201775   1.2219646  -2.0380213  -1.4691197   1.0404515   0.9362079
  5.492195    1.3582242  -0.5032055  -1.7917806   1.2563474  -1.0128186
 -6.1798677   1.2481179  -4.786676   -0.08616344  0.22073016  2.100258
  1.3872591  10.061853   -0.38616106  5.381309    3.690507    5.1583056
  4.059928   -4.5570183   6.322212   -1.2237388   0.05182539  5.2178755
 -0.1842705  -7.5672035  -1.2231265   1.4415971   5.1225495   6.138016
  1.0251378  -4.3934193 ]",1
28,Primate,22984,"[ 1.0541158  -0.24159321 -6.9314523   0.32130367 -0.93987787  0.97562623
  5.119873    9.899044   -0.5182086   5.3551016   3.1129067  -1.2102213
  0.844316   -5.252368    0.300839   -3.2147064  -1.5073467  -0.02502033
 -6.824255   -5.741165   -2.52792     2.1500046  -5.269231   -0.21279667
 -2.5595767   0.07819141 -1.5588304  -1.8920932  -3.546651   -2.0541887
  2.567496   -0.42574716  1.6626638  -0.06507439  1.3950957   1.4608493
 -3.1700401  -2.087219   -2.4662614  -5.030883   -1.1293567   1.5359792
  0.01136657  0.41483623  2.8595135   3.246381    2.352729   -1.0641928
 -2.825941   -0.64743924]",1
